ESO CLASS;FN FRAME;FN LU;PWN SS ID;;;;;;;;
Distribution;Dispersal;disseminate;_;;;;;;;;
Distribution;Dispersal;dissolution;_;;;;;;;;
Distribution;Dispersal;dissolve;_;;;;;;;;
Distribution;Dispersal;distribute;201378556;202043190;202479990;202754855;;;;;
Distribution;Dispersal;distribution;101083077;101112885;;;;;;;
Distribution;Dispersal;pass on.v;202043190;;;;;;;;
Distribution;Dispersal;scatter;202028994;202082690;;;;;;;
Distribution;Dispersal;spread;201380122;202082690;202689299;;;;;;
Distribution;Dispersal;sprinkle;201376245;;;;;;;;
Distribution;Dispersal;strew;201378123;201208896;;;;;;;
EndingARelationship;bm:Forming_relationships;divorce.v;202490634;;;;;;;;
EndingARelationship;bm:Forming_relationships;divorce.n;101201271;;;;;;;;
EndingARelationship;bm:Forming_relationships;leave;_;;;;;;;;
EndingARelationship;bm:Forming_relationships;separate;202431320;;;;;;;;
EndingARelationship;bm:Forming_relationships;separation;101201429;;;;;;;;
Escaping;Escaping;bust out;_;;;;;;;;
Escaping;Escaping;escape;202074677;202075049;;;;;;;
Escaping;Escaping;evacuate;201856450;202014024;;;;;;;
Escaping;Escaping;evacuation;100054821;;;;;;;;
Escaping;Escaping;fly the coop;202075049;;;;;;;;
Escaping;Escaping;get out;202015168;;;;;;;;
Escaping;Escaping;get free;_;;;;;;;;
Escaping;Escaping;get loose;_;;;;;;;;
Escaping;Escaping;scarper;202075049;;;;;;;;
Escaping;Fleeing;bolt;202011040;202073714;;;;;;;
Escaping;Fleeing;flee;202075462;;;;;;;;
Escaping;Fleeing;flight;100058743;;;;;;;;
Escaping;Fleeing;run away;202075049;;;;;;;;
ESO;FN FRAME;FN LU;PWN SS ID;;;;;;;;
Exporting;Exporting;export.v;202346409;;;;;;;;
Exporting;Exporting;export.n;103306207;;;;;;;;
Exporting;Exporting;exportation;101111952;;;;;;;;
FinancialTransaction;Commercial_transaction;transaction;101106808;;;;;;;;
Getting;Getting;acquire;202210855;;;;;;;;
Getting;Getting;acquisition;100077419;;;;;;;;
Getting;Getting;gain.v;202289295;;;;;;;;
Getting;Getting;get;201433294;202210855;202359340;;;;;;
Getting;Getting;obtain;202238085;;;;;;;;
Getting;Getting;procure;202238770;;;;;;;;
Getting;Getting;procurement;100083729;;;;;;;;
Getting;Getting;score;_;;;;;;;;
Getting;Getting;secure;202238770;;;;;;;;
Getting;Getting;win;_;;;;;;;;
Getting;Receiving;accept;202236124;202210622;;;;;;;
Getting;Receiving;receipt;100090253;;;;;;;;
Getting;Receiving;receive;202210119;;;;;;;;
Giving;Giving;advance;202283949;;;;;;;;
Giving;Giving;bequeath;202229055;;;;;;;;
Giving;Giving;charity;101089635;;;;;;;;
Giving;Giving;contribute;202308741;202237782;;;;;;;
Giving;Giving;contribution;101089778;;;;;;;;
Giving;Giving;donate;202263027;;;;;;;;
Giving;Giving;donation;101089778;;;;;;;;
Giving;Giving;*donor;110025730;;;;;;;;
Giving;Giving;endow;202201268;;;;;;;;
Giving;Giving;fob off;_;;;;;;;;
Giving;Giving;foist;200749092;;;;;;;;
Giving;Giving;gift.v;202200686;;;;;;;;
Giving;Giving;gift.n;101086081;;;;;;;;
Giving;Giving;give out;202201644;;;;;;;;
Giving;Giving;give;202199590;202200686;202230772;202359553;;;;;
Giving;Giving;hand in;_;;;;;;;;
Giving;Giving;hand out;202201644;;;;;;;;
Giving;Giving;hand over;202293321;;;;;;;;
Giving;Giving;hand;202230772;;;;;;;;
Giving;Giving;leave;202229055;;;;;;;;
Giving;Giving;pass out;202201644;;;;;;;;
Giving;Giving;pass;202230772;;;;;;;;
Giving;Giving;treat;201176232;202261642;;;;;;;
Giving;Giving;volunteer;_;;;;;;;;
Giving;Giving;will;202229055;;;;;;;;
Giving;Sending;barge;201950502;;;;;;;;
Giving;Sending;dispatch;201955127;;;;;;;;
Giving;Sending;export.v;202346409;;;;;;;;
Giving;Sending;express;201031756;;;;;;;;
Giving;Sending;fax;201007676;;;;;;;;
Giving;Sending;forward;201955508;;;;;;;;
Giving;Sending;mail;201031256;;;;;;;;
Giving;Sending;post;201437888;;;;;;;;
Giving;Sending;refer;201952898;;;;;;;;
Giving;Sending;route.v;201952750;201955364;;;;;;;
Giving;Sending;send;201031256;201062555;201088923;201437254;201950798;201951480;;;
Giving;Sending;ship;201950798;;;;;;;;
Giving;Sending;shipment;100061290;;;;;;;;
Giving;Sending;telex;200790965;;;;;;;;
Giving;Sending;wire;201007222;;;;;;;;
Giving;Supply;afford;_;;;;;;;;
Giving;Supply;equip;202339413;;;;;;;;
Giving;Supply;equipment;_;;;;;;;;
Giving;Supply;fix up;201203369;;;;;;;;
Giving;Supply;fuel;202356420;;;;;;;;
Giving;Supply;furnish;202327200;;;;;;;;
Giving;Supply;issue;202479323;;;;;;;;
Giving;Supply;outfit;202339413;;;;;;;;
Giving;Supply;provide;201182709;202327200;;;;;;;
Giving;Supply;provision;101057200;;;;;;;;
Giving;Supply;*supplier;110677271;;;;;;;;
Giving;Supply;supply.v;201182709;202327200;202479323;;;;;;
Giving;Supply;supply.n;101057200;;;;;;;;
HavingAValue;Amounting_to;amount.v;202645007;;;;;;;;
HavingAValue;Amounting_to;number.v;202645007;;;;;;;;
HavingAValue;Amounting_to;tally.n;_;;;;;;;;
HavingAValue;Amounting_to;total.a;_;;;;;;;;
HavingAValue;Amounting_to;total.n;105861067;;;;;;;;
HavingAValue;Amounting_to;total.v;202645007;;;;;;;;
HavingInPossession;Possession;assets;_;;;;;;;;
HavingInPossession;Possession;belong;202301680;;;;;;;;
HavingInPossession;Possession;belongings;_;;;;;;;;
HavingInPossession;Possession;custody;100818678;;;;;;;;
HavingInPossession;Possession;definite possession;_;;;;;;;;
HavingInPossession;Possession;effects;_;;;;;;;;
HavingInPossession;Possession;got;202210855;;;;;;;;
HavingInPossession;Possession;have;202203362;202204692;;;;;;;
HavingInPossession;Possession;lacking.a;_;;;;;;;;
HavingInPossession;Possession;own;202204692;;;;;;;;
HavingInPossession;Possession;owner;110388924;110389398;;;;;;;
HavingInPossession;Possession;ownership;100809465;114479488;;;;;;;
HavingInPossession;Possession;possess;202204692;;;;;;;;
HavingInPossession;Possession;possession of goods;_;;;;;;;;
HavingInPossession;Possession;possession;100809465;;;;;;;;
HavingInPossession;Possession;*possessor;110389398;;;;;;;;
HavingInPossession;Possession;property;113244109;;;;;;;;
HavingInPossession;Possession;wanting.a;_;;;;;;;;
HavingInPossession/NOT;Possession;lack.n;114449405;;;;;;;;
HavingInPossession/NOT;Possession;lack.v;202632353;;;;;;;;
HavingInPossession/NOT;Possession;want.v;202632567;;;;;;;;
HavingInPossession/NOT;Possession;want.n;114449405;;;;;;;;
Importing;Importing;import.v;202346136;;;;;;;;
Importing;Importing;import.n;103564667;;;;;;;;
Importing;Importing;importation;101111750;;;;;;;;
Increasing;bm:Expansion;dilate;200305537;;;;;;;;
Increasing;bm:Expansion;enlarge;200154778;200157844;200240293;;;;;;
Increasing;bm:Expansion;enlargement;100365709;;;;;;;;
Increasing;bm:Expansion;expand;200257269;200264386;200310386;200540946;200541163;202077148;;;
Increasing;bm:Expansion;expansion;100365709;;;;;;;;
Increasing;bm:Expansion;explosive.a;_;;;;;;;;
Increasing;bm:Expansion;grow.v;200230746;;;;;;;;
Increasing;bm:Expansion;inflate;200264386;200562523;200562882;;;;;;
Increasing;bm:Expansion;lengthen;200316631;200317700;;;;;;;
Increasing;bm:Expansion;spread;_;;;;;;;;
Increasing;bm:Expansion;stretch;200541746;200154141;200240810;200318816;;;;;
Increasing;bm:Expansion;swell;200256507;200257650;200555084;;;;;;
Increasing;bm:Proliferating_in_number;multiply;200247390;;;;;;;;
Increasing;bm:Proliferating_in_number;proliferate;200247830;200310635;;;;;;;
Increasing;bm:Proliferating_in_number;proliferation;113541975;113542114;;;;;;;
Increasing;Cause_proliferation_in_number;multiplication;113517843;;;;;;;;
Increasing;Cause_proliferation_in_number;proliferation;113542114;;;;;;;;
Increasing;bm:Cause_expansion;aggrandizement;100373544;;;;;;;;
Increasing;bm:Cause_expansion;augmentation;100365231;;;;;;;;
Increasing;bm:Cause_expansion;blow up.v;200240293;200264386;;;;;;;
Increasing;bm:Cause_expansion;dilate;_;;;;;;;;
Increasing;bm:Cause_expansion;enlarge;200154778;200157844;200240293;;;;;;
Increasing;bm:Cause_expansion;enlargement;100365709;;;;;;;;
Increasing;bm:Cause_expansion;expand;200257269;200264386;200310386;200540946;200541163;202077148;;;
Increasing;bm:Cause_expansion;expansion;100365709;;;;;;;;
Increasing;bm:Cause_expansion;grow.v;200230746;;;;;;;;
Increasing;bm:Cause_expansion;growth;113497135;;;;;;;;
Increasing;bm:Cause_expansion;inflate;200264386;200562523;200562882;;;;;;
Increasing;bm:Cause_expansion;lengthen;200317700;;;;;;;;
Increasing;bm:Cause_expansion;magnification;100367427;;;;;;;;
Increasing;bm:Cause_expansion;magnify;200434077;200240293;;;;;;;
Increasing;bm:Cause_expansion;stretch;200154141;200318816;200541746;;;;;;
Increasing;bm:Cause_expansion;swell;200257650;;;;;;;;
Increasing;bm:Cause_expansion;widen;200303661;200540235;;;;;;;
Increasing;bm:Cause_change_of_position_on_a_scale;add;200182406;;;;;;;;
Increasing;bm:Cause_change_of_position_on_a_scale;crank;_;;;;;;;;
Increasing;bm:Cause_change_of_position_on_a_scale;development;113464820;;;;;;;;
Increasing;bm:Cause_change_of_position_on_a_scale;double;200246217;;;;;;;;
Increasing;bm:Cause_change_of_position_on_a_scale;enhance;200229605;;;;;;;;
Increasing;bm:Cause_change_of_position_on_a_scale;growth;113497135;;;;;;;;
Increasing;bm:Cause_change_of_position_on_a_scale;increase;200153263;200156601;;;;;;;
Increasing;bm:Cause_change_of_position_on_a_scale;promote;_;;;;;;;;
Increasing;bm:Cause_change_of_position_on_a_scale;push.v;_;;;;;;;;
Increasing;bm:Cause_change_of_position_on_a_scale;push.n;_;;;;;;;;
Increasing;bm:Cause_change_of_position_on_a_scale;raise.v;200158503;200229605;200544549;200549982;;;;;
Increasing;bm:Cause_change_of_position_on_a_scale;step up;200290302;200439849;;;;;;;
Increasing;bm:Cause_change_of_position_on_a_scale;swell;200257650;200555084;;;;;;;
Increasing;bm:Change_position_on_a_scale;accelerated.a;300977105;;;;;;;;
Increasing;bm:Change_position_on_a_scale;advance.v;200158222;200497061;200558371;;;;;;
Increasing;bm:Change_position_on_a_scale;balloon.;_;;;;;;;;
Increasing;bm:Change_position_on_a_scale;climb;200155143;200433232;;;;;;;
Increasing;bm:Change_position_on_a_scale;double;200246217;;;;;;;;
Increasing;bm:Change_position_on_a_scale;elevated.a;300881432;;;;;;;;
Increasing;bm:Change_position_on_a_scale;elevation;100373544;;;;;;;;
Increasing;bm:Change_position_on_a_scale;escalation;100366846;;;;;;;;
Increasing;bm:Change_position_on_a_scale;explode;200157623;;;;;;;;
Increasing;bm:Change_position_on_a_scale;explosion;107414068;;;;;;;;
Increasing;bm:Change_position_on_a_scale;gain.v;200046151;200157462;200158222;;;;;;
Increasing;bm:Change_position_on_a_scale;gain.n;113754293;;;;;;;;
Increasing;bm:Change_position_on_a_scale;grow.v;200230746;;;;;;;;
Increasing;bm:Change_position_on_a_scale;growing.a;_;;;;;;;;
Increasing;bm:Change_position_on_a_scale;growth;113497135;;;;;;;;
Increasing;bm:Change_position_on_a_scale;hike.n;105110185;105110408;;;;;;;
Increasing;bm:Change_position_on_a_scale;increase.n;100363260;105108947;113497135;113754293;;;;;
Increasing;bm:Change_position_on_a_scale;increasingly.adv;400059854;;;;;;;;
Increasing;bm:Change_position_on_a_scale;jump.v;200155547;200155727;;;;;;;
Increasing;bm:Change_position_on_a_scale;mushroom;200231445;;;;;;;;
Increasing;bm:Change_position_on_a_scale;rise.v;200155143;200155547;200432436;200433232;201983134;;;;
Increasing;bm:Change_position_on_a_scale;rise.n;100364260;105110185;105110408;107324917;;;;;
Increasing;bm:Change_position_on_a_scale;rocket;201944086;;;;;;;;
Increasing;bm:Change_position_on_a_scale;skyrocket;201944086;;;;;;;;
Increasing;bm:Change_position_on_a_scale;soar;200155406;201943718;;;;;;;
Increasing;bm:Change_position_on_a_scale;swell;200256507;200257650;200555084;;;;;;
Increasing;bm:Change_position_on_a_scale;triple;200246746;;;;;;;;
Increasing;bm:Change_of_quantity_of_possession;gain.v;202289295;202290461;;;;;;;
Injuring;Cause_harm;bash;201397088;;;;;;;;
Injuring;Cause_harm;batter;201417416;;;;;;;;
Injuring;Cause_harm;bayonet;201231980;;;;;;;;
Injuring;Cause_harm;beat up;201397210;;;;;;;;
Injuring;Cause_harm;beat;201397210;;;;;;;;
Injuring;Cause_harm;belt;201415162;;;;;;;;
Injuring;Cause_harm;biff;201416020;;;;;;;;
Injuring;Cause_harm;bludgeon;201423929;;;;;;;;
Injuring;Cause_harm;boil;_;;;;;;;;
Injuring;Cause_harm;break;200107739;;;;;;;;
Injuring;Cause_harm;bruise;201492725;201793177;;;;;;;
Injuring;Cause_harm;buffet;201417578;;;;;;;;
Injuring;Cause_harm;burn;200104299;202120451;;;;;;;
Injuring;Cause_harm;butt;201235769;;;;;;;;
Injuring;Cause_harm;cane;201412204;;;;;;;;
Injuring;Cause_harm;chop;201124535;;;;;;;;
Injuring;Cause_harm;claw;201306654;;;;;;;;
Injuring;Cause_harm;clout;201412759;;;;;;;;
Injuring;Cause_harm;club;201423929;;;;;;;;
Injuring;Cause_harm;crack;201401955;;;;;;;;
Injuring;Cause_harm;crush;201492944;201800195;;;;;;;
Injuring;Cause_harm;cudgel;201424106;;;;;;;;
Injuring;Cause_harm;cuff;201417162;;;;;;;;
Injuring;Cause_harm;cut;201227088;;;;;;;;
Injuring;Cause_harm;drug;_;;;;;;;;
Injuring;Cause_harm;elbow;201239494;;;;;;;;
Injuring;Cause_harm;electrocute;202484957;;;;;;;;
Injuring;Cause_harm;electrocution;100228078;101165112;;;;;;;
Injuring;Cause_harm;flagellate;201398443;;;;;;;;
Injuring;Cause_harm;flog;201411085;201412204;;;;;;;
Injuring;Cause_harm;fracture;200107739;200107943;;;;;;;
Injuring;Cause_harm;gash;201322509;;;;;;;;
Injuring;Cause_harm;hammer;_;;;;;;;;
Injuring;Cause_harm;hit;201137138;201400044;202104161;;;;;;
Injuring;Cause_harm;horsewhip;201398772;;;;;;;;
Injuring;Cause_harm;hurt;200064643;201792567;201793177;;;;;;
Injuring;Cause_harm;impale;201572003;;;;;;;;
Injuring;Cause_harm;injure;200069879;201793177;;;;;;;
Injuring;Cause_harm;jab;201230555;201229976;;;;;;;
Injuring;Cause_harm;kick;201370561;;;;;;;;
Injuring;Cause_harm;knee;_;;;;;;;;
Injuring;Cause_harm;knife;201231652;;;;;;;;
Injuring;Cause_harm;knock;201238640;;;;;;;;
Injuring;Cause_harm;lash;201411085;201398032;;;;;;;
Injuring;Cause_harm;maim;200090888;;;;;;;;
Injuring;Cause_harm;maul;201232098;;;;;;;;
Injuring;Cause_harm;mutilate;200090708;200292672;;;;;;;
Injuring;Cause_harm;pelt;201121320;;;;;;;;
Injuring;Cause_harm;poison;200088339;201323338;;;;;;;
Injuring;Cause_harm;poisoning;100224738;;;;;;;;
Injuring;Cause_harm;pummel;201416020;;;;;;;;
Injuring;Cause_harm;punch;201415285;;;;;;;;
Injuring;Cause_harm;slap;201416871;;;;;;;;
Injuring;Cause_harm;slice;201559055;;;;;;;;
Injuring;Cause_harm;smack;201414916;;;;;;;;
Injuring;Cause_harm;smash;201800195;;;;;;;;
Injuring;Cause_harm;spear;201444887;;;;;;;;
Injuring;Cause_harm;squash;_;;;;;;;;
Injuring;Cause_harm;stab;201229976;201231652;;;;;;;
Injuring;Cause_harm;sting;201445407;201793742;202120451;;;;;;
Injuring;Cause_harm;stone;201323518;;;;;;;;
Injuring;Cause_harm;strike.v;201228235;201410223;202104161;;;;;;
Injuring;Cause_harm;strike.n;100977301;;;;;;;;
Injuring;Cause_harm;swipe;_;;;;;;;;
Injuring;Cause_harm;thwack;201414916;;;;;;;;
Injuring;Cause_harm;torture;200071178;201802689;;;;;;;
Injuring;Cause_harm;transfix;_;;;;;;;;
Injuring;Cause_harm;twist;200091124;;;;;;;;
Injuring;Cause_harm;welt;201411085;;;;;;;;
Injuring;Cause_harm;whip  ;201398032;201411085;;;;;;;
Injuring;Cause_harm;wound;200069879;201793177;;;;;;;
Injuring;Experience_bodily_harm;abrade;_;;;;;;;;
Injuring;Experience_bodily_harm;break;200107739;;;;;;;;
Injuring;Experience_bodily_harm;bruise;201492725;;;;;;;;
Injuring;Experience_bodily_harm;burn;200104299;;;;;;;;
Injuring;Experience_bodily_harm;cut;201227088;;;;;;;;
Injuring;Experience_bodily_harm;graze;201608508;;;;;;;;
Injuring;Experience_bodily_harm;hit;202104161;;;;;;;;
Injuring;Experience_bodily_harm;hurt;200064643;;;;;;;;
Injuring;Experience_bodily_harm;injure;200069879;;;;;;;;
Injuring;Experience_bodily_harm;injury;100744443;107313636;;;;;;;
Injuring;Experience_bodily_harm;jam;201492944;;;;;;;;
Injuring;Experience_bodily_harm;pull;200071803;;;;;;;;
Injuring;Experience_bodily_harm;scrape;201309478;;;;;;;;
Injuring;Experience_bodily_harm;smack;_;;;;;;;;
Injuring;Experience_bodily_harm;sprain;200091124;;;;;;;;
Injuring;Experience_bodily_harm;strain;_;;;;;;;;
Injuring;Experience_bodily_harm;stub;200102420;;;;;;;;
Injuring;Experience_bodily_harm;sunburn;200104299;;;;;;;;
Injuring;Experience_bodily_harm;tear;_;;;;;;;;
Injuring;Experience_bodily_harm;twist;200091124;;;;;;;;
Installing;Installing;install;201569566;;;;;;;;
Installing;Installing;installation;100240938;;;;;;;;
IntentionalEvent;Intentionally_act;_ _;;;;;;;;;
JoiningAnOrganization;Get_a_job;hire on;;;;;;;;;
JoiningAnOrganization;Get_a_job;sign on;202409941;;;;;;;;
JoiningAnOrganization;Hiring;commission.n;_;;;;;;;;
JoiningAnOrganization;Hiring;commission.v;_;;;;;;;;
JoiningAnOrganization;Hiring;contract.v;202409941;;;;;;;;
JoiningAnOrganization;Hiring;give job;_;;;;;;;;
JoiningAnOrganization;Hiring;hire.n;_;;;;;;;;
JoiningAnOrganization;Hiring;hire.v;202409412;;;;;;;;
JoiningAnOrganization;Hiring;sign on;202409941;;;;;;;;
JoiningAnOrganization;Hiring;sign up;202409941;;;;;;;;
JoiningAnOrganization;Hiring;sign  ;202409941;;;;;;;;
JoiningAnOrganization;Hiring;subcontract.v;202461063;;;;;;;;
JoiningAnOrganization;Hiring;take on;_;;;;;;;;
Killing;Execution;execute;202483267;202484208;;;;;;;
Killing;Execution;execution;100220522;101163779;;;;;;;
Killing;Execution;executioner;110069427;;;;;;;;
Killing;Execution;*firing squad;108424769;;;;;;;;
Killing;Execution;guillotine.v;201571538;;;;;;;;
Killing;Execution;guillotining.n;_;;;;;;;;
Killing;Execution;hang.v;202485451;;;;;;;;
Killing;Execution;hanging.n;101164874;;;;;;;;
Killing;Execution;*hangman.n;110159615;;;;;;;;
Killing;Execution;*headsman.n;110164997;;;;;;;;
Killing;Execution;put to death;202483267;;;;;;;;
Killing;Killing;annihilate;_;;;;;;;;
Killing;Killing;annihilation;_;;;;;;;;
Killing;Killing;asphyxiate;201569181;200359511;;;;;;;
Killing;Killing;*assassin;109813696;;;;;;;;
Killing;Killing;assassinate;202483000;;;;;;;;
Killing;Killing;assassination;100221056;;;;;;;;
Killing;Killing;behead;201571354;;;;;;;;
Killing;Killing;beheading;100228181;101165224;;;;;;;
Killing;Killing;blood-bath;100224260;;;;;;;;
Killing;Killing;bloodshed.n;100221178;100224260;;;;;;;
Killing;Killing;butcher.v;201322854;;;;;;;;
Killing;Killing;butchery.n;100223983;;;;;;;;
Killing;Killing;carnage.n;100223983;;;;;;;;
Killing;Killing;crucifixion;101165337;;;;;;;;
Killing;Killing;crucify.v;202484049;;;;;;;;
Killing;Killing;deadly.a;_;;;;;;;;
Killing;Killing;decapitate;201571354;;;;;;;;
Killing;Killing;decapitation;100228181;101165224;;;;;;;
Killing;Killing;destroy;201326528;;;;;;;;
Killing;Killing;dispatch;201325128;202482425;;;;;;;
Killing;Killing;do in.v;201327301;;;;;;;;
Killing;Killing;drown;200360501;200479060;;;;;;;
Killing;Killing;eliminate;200470701;;;;;;;;
Killing;Killing;euthanasia.n;100219856;;;;;;;;
Killing;Killing;euthanize;_;;;;;;;;
Killing;Killing;exterminate;201327582;;;;;;;;
Killing;Killing;extermination;101245061;;;;;;;;
Killing;Killing;fatal.a;_;;;;;;;;
Killing;Killing;fatality.n;107332956;;;;;;;;
Killing;Killing;fratricide.n;100221981;;;;;;;;
Killing;Killing;garotte.v;201571744;;;;;;;;
Killing;Killing;genocide.n;101245159;;;;;;;;
Killing;Killing;holocaust;101245318;;;;;;;;
Killing;Killing;homicide.n;100220023;;;;;;;;
Killing;Killing;immolation.n;100227969;;;;;;;;
Killing;Killing;infanticide;101250492;;;;;;;;
Killing;Killing;kill.v;201323958;201325536;201325774;;;;;;
Killing;Killing;*killer;110231087;;;;;;;;
Killing;Killing;killing;100219012;;;;;;;;
Killing;Killing;lethal.a;_;;;;;;;;
Killing;Killing;liquidate;201327301;;;;;;;;
Killing;Killing;liquidation;100223720;;;;;;;;
Killing;Killing;*liquidator;110338707;;;;;;;;
Killing;Killing;lynch;202484397;;;;;;;;
Killing;Killing;massacre.n;100223983;;;;;;;;
Killing;Killing;massacre.v;200479176;;;;;;;;
Killing;Killing;matricide;100221819;;;;;;;;
Killing;Killing;murder.n;100220522;;;;;;;;
Killing;Killing;murder.v;202482425;;;;;;;;
Killing;Killing;*murderer.n;110338707;;;;;;;;
Killing;Killing;patricide;100221900;;;;;;;;
Killing;Killing;pogrom;100421210;;;;;;;;
Killing;Killing;regicide;100225070;;;;;;;;
Killing;Killing;shooting.n;100225150;;;;;;;;
Killing;Killing;silence.v;_;;;;;;;;
Killing;Killing;slaugher.n;100223854;100223983;;;;;;;
Killing;Killing;slaughter.v;200479176;201322854;;;;;;;
Killing;Killing;*slaughterer;109884133;;;;;;;;
Killing;Killing;slay.v;202482425;;;;;;;;
Killing;Killing;*slayer.n;110231087;;;;;;;;
Killing;Killing;slaying.n;100220522;;;;;;;;
Killing;Killing;smother.v;201569181;;;;;;;;
Killing;Killing;smothering.n;_;;;;;;;;
Killing;Killing;starve;201187740;;;;;;;;
Killing;Killing;suffocate;200359511;201569181;;;;;;;
Killing;Killing;suffocation;100225593;;;;;;;;
Killing;Killing;suicide.n;100222485;;;;;;;;
Killing;Killing;suicide.v;_;;;;;;;;
Killing;Killing;take life;_;;;;;;;;
Killing;Killing;take out;_;;;;;;;;
Killing;Killing;terminate;_;;;;;;;;
Leaving;Departing;decamp;202010698;202073714;202076857;;;;;;
Leaving;Departing;depart;201848718;202008396;202014165;;;;;;
Leaving;Departing;departure;100042757;;;;;;;;
Leaving;Departing;disappear;200426958;;;;;;;;
Leaving;Departing;disappearance;100053609;;;;;;;;
Leaving;Departing;emerge;200423971;;;;;;;;
Leaving;Departing;escape;202074677;202075049;202599004;;;;;;
Leaving;Departing;escape.n;100058743;;;;;;;;
Leaving;Departing;exit.n;100058519;;;;;;;;
Leaving;Departing;exit.v;202015598;;;;;;;;
Leaving;Departing;exodus;100060414;;;;;;;;
Leaving;Departing;leave;202009433;202015598;;;;;;;
Leaving;Departing;skedaddle;202075764;;;;;;;;
Leaving;Departing;vamoose;202010698;;;;;;;;
Leaving;Departing;vanish;200426958;;;;;;;;
Leaving;Quitting_a_place;abandon;202076676;;;;;;;;
Leaving;Quitting_a_place;bolt;202011040;202073714;;;;;;;
Leaving;Quitting_a_place;emigrate;200416135;;;;;;;;
Leaving;Quitting_a_place;emigration;100056087;;;;;;;;
Leaving;Quitting_a_place;emigre.n;_;;;;;;;;
Leaving;Quitting_a_place;quit;202008396;;;;;;;;
Leaving;Quitting_a_place;retreat.n;100054483;100056912;;;;;;;
Leaving;Quitting_a_place;retreat.v;201994442;201994846;;;;;;;
Leaving;Quitting_a_place;sally.v;_;;;;;;;;
Leaving;Quitting_a_place;skedaddle;202075764;;;;;;;;
Leaving;Quitting_a_place;split.v;_;;;;;;;;
Leaving;Quitting_a_place;vacate.v;202076676;;;;;;;;
Leaving;Quitting_a_place;vamoose;202010698;;;;;;;;
Leaving;Quitting_a_place;withdraw;201994442;;;;;;;;
Leaving;Quitting_a_place;withdrawal;100053913;;;;;;;;
Leaving;Setting_out;decamp;202010698;202073714;;;;;;;
Leaving;Setting_out;set off.v;202014165;;;;;;;;
Leaving;Setting_out;set out.v;202014165;;;;;;;;
Leaving;Vehicle_departure_initial_state;cast off;_;;;;;;;;
Leaving;Vehicle_departure_initial_state;lift off;202014553;;;;;;;;
Leaving;Vehicle_departure_initial_state;take off;202014553;;;;;;;;
LeavingAnOrganization;Firing;can.v;202402825;;;;;;;;
LeavingAnOrganization;Firing;discharge;201097743;;;;;;;;
LeavingAnOrganization;Firing;dismiss;202402825;;;;;;;;
LeavingAnOrganization;Firing;dismissal;107213079;;;;;;;;
LeavingAnOrganization;Firing;downsize;200586682;202403773;;;;;;;
LeavingAnOrganization;Firing;fire;202402825;;;;;;;;
LeavingAnOrganization;Firing;firing;202402825;;;;;;;;
LeavingAnOrganization;Firing;give the boot;_;;;;;;;;
LeavingAnOrganization;Firing;lay off;202403537;;;;;;;;
LeavingAnOrganization;Firing;lay-off.n;_;;;;;;;;
LeavingAnOrganization;Firing;let go;_;;;;;;;;
LeavingAnOrganization;Firing;sack;202402825;;;;;;;;
LeavingAnOrganization;Firing;shitcan.v;_;;;;;;;;
LeavingAnOrganization;Firing;terminate;202402825;;;;;;;;
LeavingAnOrganization;Firing;termination;_;;;;;;;;
LeavingAnOrganization;Firing;the sack.n;_;;;;;;;;
LeavingAnOrganization;Quitting;give notice;202402825;;;;;;;;
LeavingAnOrganization;Quitting;leave;202383440;;;;;;;;
LeavingAnOrganization;Quitting;quit;202382367;;;;;;;;
LeavingAnOrganization;Quitting;resign;202382367;;;;;;;;
LeavingAnOrganization;Quitting;resignation;107254267;;;;;;;;
LeavingAnOrganization;Quitting;retire;202380251;202379753;;;;;;;
LeavingAnOrganization;Quitting;retirement;100212205;113954118;;;;;;;
LeavingAnOrganization;Quitting;stand down.v;_;;;;;;;;
LeavingAnOrganization;Quitting;step down.v;202382367;;;;;;;;
Lending;Lending;lend;202324182;;;;;;;;
Lending;Lending;loan.n;113398953;;;;;;;;
Lending;Lending;loan.v;202324182;;;;;;;;
Meeting;Assemble;assemble;202428924;202598143;;;;;;;
Meeting;Assemble;convene;200793037;202024508;;;;;;;
Meeting;Assemble;meet;202428924;202486932;;;;;;;
Meeting;Come_together;amass;_;;;;;;;;
Meeting;Come_together;assemble;202428924;202598143;;;;;;;
Meeting;Come_together;band together;202470685;;;;;;;;
Meeting;Come_together;band;_;;;;;;;;
Meeting;Come_together;come together;_;;;;;;;;
Meeting;Come_together;congregate;202023600;;;;;;;;
Meeting;Come_together;convene;200793037;202024508;;;;;;;
Meeting;Come_together;gang together;_;;;;;;;;
Meeting;Come_together;gather;202428924;202598143;;;;;;;
Meeting;Come_together;meet;202023107;202022804;202428924;202486932;;;;;
Meeting;Come_together;throng.v;202064131;;;;;;;;
Meeting;Social_event;ball;107448885;;;;;;;;
Meeting;Social_event;banquet;108253640;;;;;;;;
Meeting;Social_event;barbecue;107576781;;;;;;;;
Meeting;Social_event;bash;107448038;;;;;;;;
Meeting;Social_event;benefit;106892534;;;;;;;;
Meeting;Social_event;celebration;107450651;;;;;;;;
Meeting;Social_event;dance;107448717;;;;;;;;
Meeting;Social_event;dinner-party;108253815;;;;;;;;
Meeting;Social_event;dinner;108253815;;;;;;;;
Meeting;Social_event;fair;100519333;101118182;108408267;108408557;;;;;
